PROVINSI ;Y_IDI ;X1_IPM ;X2_IDG ;X3_LPE ;X4_PPM ;X5_GR ;X6_IPTIK
ACEH ;67.78;69.45;65.57;-0.72;17.08;0.33;4.14
SUMATERA UTARA ;69.01;69.51;67.81;5.1;10.53;0.34;4.29
SUMATERA BARAT ;67.46;69.98;62.42;5.41;7.31;0.34;4.69
RIAU ;65.83;70.84;74.59;0.22;8.42;0.36;4.65
JAMBI ;70.68;68.89;62.43;4.21;8.86;0.36;4.5
SUMATERA SELATAN ;79.81;67.46;70.36;4.5;14.25;0.36;4.27
BENGKULU ;73.6;68.59;68.86;5.14;17.88;0.38;4.7
LAMPUNG ;65.95;66.95;62.01;5.13;14.35;0.38;3.76
KEP. BANGKA BELITUNG ;72.31;69.05;56.29;4.08;5.4;0.28;4.51
KEP. RIAU ;70.26;73.75;62.15;6.02;6.24;0.36;6.49
DKI JAKARTA ;85.32;78.99;71.41;5.88;3.93;0.43;9.25
JAWA BARAT ;73.04;69.5;69.02;5.03;9.53;0.41;5.03
JAWA TENGAH ;69.75;69.49;74.8;5.44;13.58;0.38;4.41
DI YOGYAKARTA ;83.19;77.59;68.75;4.94;14.91;0.43;6.45
JAWA TIMUR ;76.9;68.95;68.41;5.44;12.34;0.42;4.74
BANTEN ;68.46;70.27;67.94;5.37;5.9;0.4;5.35
BALI ;79.83;73.27;62.99;6.04;4.74;0.38;6.01
NUSA TENGGARA BARAT ;65.08;65.19;58.69;21.24;17.1;0.37;3.67
NUSA TENGGARA TIMUR ;78.47;62.67;64.75;5.02;22.61;0.34;3.26
KALIMANTAN BARAT ;76.4;65.59;64.44;4.81;8.03;0.33;4.08
KALIMANTAN TENGAH ;73.46;68.53;77.87;7.01;5.94;0.33;4.57
KALIMANTAN SELATAN ;74.76;68.38;70.05;3.84;4.99;0.35;4.84
KALIMANTAN TIMUR ;81.24;74.17;55.96;-1.28;6.23;0.32;6.3
KALIMANTAN UTARA ;80.16;68.76;67.31;3.13;6.24;0.29;5.83
SULAWESI UTARA ;79.4;70.39;79.82;6.12;8.65;0.37;5.04
SULAWESI TENGAH ;76.67;66.76;65.57;15.56;14.66;0.37;3.98
SULAWESI SELATAN ;67.9;69.15;67.98;7.15;9.39;0.42;4.53
SULAWESI TENGGARA ;69.44;68.75;72.14;6.88;12.9;0.4;4.04
GORONTALO ;76.77;65.86;69.26;6.23;18.32;0.42;3.81
SULAWESI BARAT ;68.25;62.96;69.4;7.37;12.4;0.36;3.33
MALUKU ;65.9;67.05;77.15;5.44;19.51;0.34;4.09
MALUKU UTARA ;61.52;65.91;65.74;6.1;6.84;0.28;3.75
PAPUA BARAT ;59.97;61.73;48.19;4.1;25.82;0.44;4.32
PAPUA ;57.55;57.25;63.69;7.97;28.17;0.42;2.91
